sat_score_range,eng_pct,eng_max,eng_weight,math_pct,math_max,math_weight
780-800,99.61,100.0,0.39,98.1,100,1.9
760-780,99.31,99.6,0.29,96.1,98,1.9
740-760,98.1,99.3,1.2,95.1,96,0.9
720-740,96.1,98.0,1.9,93.1,95,1.9
700-720,94.1,96.0,1.9,91.1,93,1.9
680-700,91.1,94.0,2.9,88.1,91,2.9
660-680,87.1,91.0,3.9,85.1,88,2.9
640-660,83.1,87.0,3.9,82.1,85,2.9
620-640,78.1,83.0,4.9,79.1,82,2.9
600-620,73.1,78.0,4.9,75.1,79,3.9
580-600,67.1,73.0,5.9,69.1,75,5.9
560-580,61.1,67.0,5.9,64.1,69,4.9
540-560,54.1,61.0,6.9,58.1,64,5.9
520-540,48.1,54.0,5.9,50.1,58,7.9
500-520,41.1,48.0,6.9,43.1,50,6.9
480-500,35.1,41.0,5.9,37.1,43,5.9
460-480,28.1,35.0,6.9,31.1,37,5.9
440-460,22.1,28.0,5.9,25.1,31,5.9
420-440,16.1,22.0,5.9,20.1,25,4.9
400-420,11.1,16.0,4.9,16.1,20,3.9
380-400,7.1,11.0,3.9,11.1,16,4.9
360-380,4.1,7.0,2.9,7.1,11,3.9
340-360,2.1,4.0,1.9,4.1,7,2.9
320-340,1.1,2.0,0.9,2.1,4,1.9
200-320,0.0,1.0,1.0,0.0,2,2.0
