county_name,med_home_value
Alameda,854696.0
Alpine,419080.0
Amador,359884.0
Butte,377765.0
Calaveras,366538.0
Colusa,304243.0
Contra Costa,666238.0
Del Norte,251012.0
El Dorado,590992.0
Fresno,334478.0
Glenn,267532.0
Humboldt,399233.0
Imperial,266296.0
Inyo,308718.0
Kern,276066.0
Kings,287041.0
Lake,292771.0
Lassen,232886.0
Los Angeles,729120.0
Madera,344159.0
Marin,1045285.0
Mariposa,316289.0
Mendocino,494453.0
Merced,329284.0
Modoc,161299.0
Mono,358507.0
Monterey,690053.0
Napa,744892.0
Nevada,556403.0
Orange,820812.0
Placer,629489.0
Plumas,277972.0
Riverside,454385.0
Sacramento,459373.0
San Benito,576719.0
San Bernardino,437245.0
San Diego,717818.0
San Francisco,1179676.0
San Joaquin,461150.0
San Luis Obispo,712200.0
San Mateo,1195275.0
Santa Barbara,670504.0
Santa Clara,1187214.0
Santa Cruz,925173.0
Shasta,327189.0
Sierra,265467.0
Siskiyou,228183.0
Solano,529515.0
Sonoma,719823.0
Stanislaus,399195.0
Sutter,366610.0
Tehama,279349.0
Trinity,330056.0
Tulare,284046.0
Tuolumne,331777.0
Ventura,708536.0
Yolo,552495.0
,
