local_id,county_id,county_dist_id,school_id,record_type,school_name,dist_name,county_name,enrollment_12,test_takers,avg_eng,pct_eng,avg_math,pct_math,abv_avg_both,abv_pct_both,year
9000000000000.0,9.0,900000.0,0.0,C,,,El Dorado,2226.0,604.0,547,90.56,458,75.83,442,73.18,2019
19000000000000.0,19.0,1900000.0,0.0,C,,,Los Angeles,114618.0,48676.0,30081,61.8,19791,40.66,18555,38.12,2019
20000000000000.0,20.0,2000000.0,0.0,C,,,Madera,2352.0,442.0,277,62.67,136,30.77,127,28.73,2019
57000000000000.0,57.0,5700000.0,0.0,C,,,Yolo,2299.0,759.0,586,77.21,464,61.13,443,58.37,2019
15000000000000.0,15.0,1500000.0,0.0,C,,,Kern,14229.0,3793.0,2334,61.53,1481,39.05,1364,35.96,2019
28000000000000.0,28.0,2800000.0,0.0,C,,,Napa,1717.0,555.0,403,72.61,272,49.01,258,46.49,2019
44000000000000.0,44.0,4400000.0,0.0,C,,,Santa Cruz,3239.0,864.0,655,75.81,487,56.37,468,54.17,2019
34000000000000.0,34.0,3400000.0,0.0,C,,,Sacramento,19540.0,6090.0,4138,67.95,2945,48.36,2779,45.63,2019
36000000000000.0,36.0,3600000.0,0.0,C,,,San Bernardino,31635.0,10544.0,7014,66.52,4368,41.43,4083,38.72,2019
5000000000000.0,5.0,500000.0,0.0,C,,,Calaveras,451.0,90.0,81,90.0,60,66.67,60,66.67,2019
22000000000000.0,22.0,2200000.0,0.0,C,,,Mariposa,155.0,36.0,33,91.67,27,75.0,26,72.22,2019
31000000000000.0,31.0,3100000.0,0.0,C,,,Placer,5931.0,1959.0,1709,87.24,1395,71.21,1350,68.91,2019
55000000000000.0,55.0,5500000.0,0.0,C,,,Tuolumne,518.0,80.0,66,82.5,48,60.0,48,60.0,2019
23000000000000.0,23.0,2300000.0,0.0,C,,,Mendocino,988.0,217.0,174,80.18,118,54.38,110,50.69,2019
30000000000000.0,30.0,3000000.0,0.0,C,,,Orange,41235.0,16061.0,11463,71.37,8971,55.86,8533,53.13,2019
40000000000000.0,40.0,4000000.0,0.0,C,,,San Luis Obispo,2841.0,630.0,552,87.62,409,64.92,401,63.65,2019
41000000000000.0,41.0,4100000.0,0.0,C,,,San Mateo,7235.0,3113.0,2410,77.42,1945,62.48,1857,59.65,2019
21000000000000.0,21.0,2100000.0,0.0,C,,,Marin,2647.0,965.0,855,88.6,674,69.84,664,68.81,2019
47000000000000.0,47.0,4700000.0,0.0,C,,,Siskiyou,462.0,109.0,83,76.15,58,53.21,55,50.46,2019
11000000000000.0,11.0,1100000.0,0.0,C,,,Glenn,500.0,90.0,58,64.44,27,30.0,25,27.78,2019
39000000000000.0,39.0,3900000.0,0.0,C,,,San Joaquin,11778.0,3351.0,2344,69.95,1515,45.21,1417,42.29,2019
54000000000000.0,54.0,5400000.0,0.0,C,,,Tulare,7558.0,1801.0,1117,62.02,640,35.54,589,32.7,2019
1000000000000.0,1.0,100000.0,0.0,C,,,Alameda,17567.0,5946.0,4566,76.79,3623,60.93,3458,58.16,2019
10000000000000.0,10.0,1000000.0,0.0,C,,,Fresno,14299.0,4070.0,2664,65.45,1619,39.78,1538,37.79,2019
49000000000000.0,49.0,4900000.0,0.0,C,,,Sonoma,5496.0,1326.0,1073,80.92,772,58.22,746,56.26,2019
51000000000000.0,51.0,5100000.0,0.0,C,,,Sutter,1827.0,359.0,297,82.73,189,52.65,187,52.09,2019
27000000000000.0,27.0,2700000.0,0.0,C,,,Monterey,5768.0,1872.0,1113,59.46,655,34.99,607,32.43,2019
50000000000000.0,50.0,5000000.0,0.0,C,,,Stanislaus,9071.0,2373.0,1605,67.64,971,40.92,904,38.1,2019
29000000000000.0,29.0,2900000.0,0.0,C,,,Nevada,1869.0,186.0,159,85.48,131,70.43,127,68.28,2019
48000000000000.0,48.0,4800000.0,0.0,C,,,Solano,4845.0,1410.0,1063,75.39,728,51.63,686,48.65,2019
3000000000000.0,3.0,300000.0,0.0,C,,,Amador,305.0,53.0,44,83.02,35,66.04,33,62.26,2019
24000000000000.0,24.0,2400000.0,0.0,C,,,Merced,4559.0,1195.0,735,61.51,382,31.97,348,29.12,2019
26000000000000.0,26.0,2600000.0,0.0,C,,,Mono,420.0,37.0,32,86.49,21,56.76,21,56.76,2019
37000000000000.0,37.0,3700000.0,0.0,C,,,San Diego,42040.0,12872.0,10086,78.36,7462,57.97,7146,55.52,2019
52000000000000.0,52.0,5200000.0,0.0,C,,,Tehama,688.0,91.0,69,75.82,53,58.24,52,57.14,2019
8000000000000.0,8.0,800000.0,0.0,C,,,Del Norte,363.0,72.0,50,69.44,36,50.0,30,41.67,2019
18000000000000.0,18.0,1800000.0,0.0,C,,,Lassen,283.0,61.0,45,73.77,22,36.07,21,34.43,2019
35000000000000.0,35.0,3500000.0,0.0,C,,,San Benito,885.0,226.0,170,75.22,115,50.88,107,47.35,2019
58000000000000.0,58.0,5800000.0,0.0,C,,,Yuba,977.0,178.0,140,78.65,91,51.12,88,49.44,2019
12000000000000.0,12.0,1200000.0,0.0,C,,,Humboldt,1342.0,300.0,250,83.33,177,59.0,169,56.33,2019
13000000000000.0,13.0,1300000.0,0.0,C,,,Imperial,3168.0,775.0,540,69.68,320,41.29,297,38.32,2019
45000000000000.0,45.0,4500000.0,0.0,C,,,Shasta,2161.0,386.0,330,85.49,256,66.32,246,63.73,2019
4000000000000.0,4.0,400000.0,0.0,C,,,Butte,2551.0,551.0,453,82.21,349,63.34,332,60.25,2019
6000000000000.0,6.0,600000.0,0.0,C,,,Colusa,339.0,74.0,39,52.7,15,20.27,14,18.92,2019
14000000000000.0,14.0,1400000.0,0.0,C,,,Inyo,548.0,88.0,47,53.41,31,35.23,28,31.82,2019
25000000000000.0,25.0,2500000.0,0.0,C,,,Modoc,87.0,16.0,12,75.0,9,56.25,9,56.25,2019
42000000000000.0,42.0,4200000.0,0.0,C,,,Santa Barbara,5304.0,1211.0,978,80.76,754,62.26,727,60.03,2019
43000000000000.0,43.0,4300000.0,0.0,C,,,Santa Clara,21656.0,6920.0,5741,82.96,4796,69.31,4620,66.76,2019
56000000000000.0,56.0,5600000.0,0.0,C,,,Ventura,10750.0,4534.0,2815,62.09,2068,45.61,1967,43.38,2019
16000000000000.0,16.0,1600000.0,0.0,C,,,Kings,2004.0,443.0,290,65.46,162,36.57,150,33.86,2019
32000000000000.0,32.0,3200000.0,0.0,C,,,Plumas,163.0,34.0,28,82.35,23,67.65,22,64.71,2019
33000000000000.0,33.0,3300000.0,0.0,C,,,Riverside,34277.0,14070.0,8572,60.92,5121,36.4,4799,34.11,2019
7000000000000.0,7.0,700000.0,0.0,C,,,Contra Costa,14593.0,5412.0,3798,70.18,2814,52.0,2721,50.28,2019
17000000000000.0,17.0,1700000.0,0.0,C,,,Lake,667.0,167.0,123,73.65,71,42.51,65,38.92,2019
38000000000000.0,38.0,3800000.0,0.0,C,,,San Francisco,4447.0,2256.0,1579,69.99,1380,61.17,1248,55.32,2019
